run_id,model_key,dataset_key,seed,kind,probe_updates,probe_adapter,probe_scale,probe_scale_at_edge,cells,budget_retention,budget_bracketed,budget_file_bits,budget_bits_per_value,budget_rank,budget_container_values,budget_ceiling_heldout_bits_saved,shipped_ladder_bits_per_value,shipped_ladder_file_bits,shipped_over_budget
kind-code__mistral-7b-base__all-linear-r16__s11__85563f37c2,mistral_7b_base,kind_code,11,trained,,all_linear_r16,,,28,0.9,True,10091215.033112962,0.24059331496031194,2,41943040,16849.477793464466,0.9212261096442075,38639023.56585138,3.828976336255112
kind-dialogue__mistral-7b-base__all-linear-r16__s11__9521ffa221,mistral_7b_base,kind_dialogue,11,trained,,all_linear_r16,,,28,0.9,True,6571845.817217606,0.15668501418155684,1,41943040,5716.839183897646,1.0611838245535585,44509275.60060289,6.7727206082639455
kind-summary__mistral-7b-base__all-linear-r16__s11__3f31a12367,mistral_7b_base,kind_summary,11,trained,,all_linear_r16,,,28,0.9,True,4010700.1334942,0.09562254270301343,1,41943040,3726.579434751682,0.5574170772103099,23379766.766115114,5.829347991106531
llama-natural__llama31-8b-base__kind-code__all-linear-r16__s11__df62cf7d44,llama31_8b_base,kind_code,11,trained,,all_linear_r16,,,28,0.9,True,9920366.133111313,0.23651995976236612,2,41943040,22884.561972939526,1.0926230115689222,45827930.67915577,4.619580574369668
llama-natural__llama31-8b-base__panel-math__all-linear-r16__s11__dad850cf3a,llama31_8b_base,panel_math,11,trained,,all_linear_r16,,,28,0.9,True,11705169.194070663,0.2790729807393709,2,41943040,26418.579678934217,0.907613076628103,38068051.577535585,3.252242743899783
llama-xbrl-tags__llama31-8b-base__xbrl-tags__all-linear-r16__s11__4729f4d39d,llama31_8b_base,xbrl_tags,11,trained,,all_linear_r16,,,28,0.9,True,3343927.5066025206,0.07972544447428037,1,41943040,2987.01392127959,0.3636623703520512,15253105.346170897,4.561434216517533
mistral-panel-math__mistral-7b-base__panel-math__all-linear-r16__s11__a40ac04e3d,mistral_7b_base,panel_math,11,trained,,all_linear_r16,,,28,0.9,True,12234721.239731248,0.29169848536804316,2,41943040,28124.010657685045,0.6991132880995976,29322936.607292943,2.396698382638186
mistral-text-to-sql__mistral-7b-base__text-to-sql__all-linear-r16__s11__40d2ed96d8,mistral_7b_base,text_to_sql,11,trained,,all_linear_r16,,,28,0.9,True,3491088.1466756803,0.08323402754487229,1,41943040,7409.186432558212,0.42165846069875973,17685637.683426507,5.065938452533004
mistral-xbrl-tags__mistral-7b-base__xbrl-tags__all-linear-r16__s11__80584e1a66,mistral_7b_base,xbrl_tags,11,trained,,all_linear_r16,,,28,0.9,True,10683440.258296486,0.2547130646299478,2,41943040,6074.4515020662,0.3248261175620948,13624194.841951644,1.2752628846659617
mistral-xbrl-tags__mistral-7b-base__xbrl-tags__all-linear-r16__s22__09974a212c,mistral_7b_base,xbrl_tags,22,trained,,all_linear_r16,,,28,0.9,True,9918082.887578344,0.23646552294679507,2,41943040,6237.3438543880875,0.4570186617724419,19168752.011468,1.9327073819352154
