model,probe,family,status,score,generation_limit_fraction,answer_extracted_fraction,repeated_8gram_fraction,mean_completion_tokens
gemma2_9b_it,arc_challenge,mc_science,too_easy,0.9219,0.0000,1.0000,0.0000,3.3
gemma2_9b_it,asdiv,math,too_easy,0.9297,0.0000,1.0000,0.0006,51.7
gemma2_9b_it,gsm8k,math,too_easy,0.8828,0.0000,1.0000,0.0057,129.6
gemma2_9b_it,gsm_symbolic,math,too_easy,0.8438,0.0000,1.0000,0.0045,128.7
gemma2_9b_it,humaneval,code,too_hard,0.0000,0.0000,1.0000,0.0080,63.9
gemma2_9b_it,math500,math,usable,0.5469,0.0078,1.0000,0.0451,321.2
gemma2_9b_it,svamp,math,too_easy,0.8672,0.0000,1.0000,0.0016,61.8
llama31_8b,arc_challenge,mc_science,usable,0.7266,0.0000,1.0000,0.0000,2.0
llama31_8b,asdiv,math,degenerate,0.5859,0.4609,0.9922,0.3797,244.5
llama31_8b,gsm8k,math,degenerate,0.1094,0.4219,0.9922,0.3332,225.9
llama31_8b,gsm_symbolic,math,degenerate,0.1328,0.3672,0.9688,0.2641,202.8
llama31_8b,humaneval,code,usable,0.3438,0.0391,1.0000,0.0217,47.6
llama31_8b,math500,math,degenerate,0.0859,0.0469,0.8047,0.0489,62.1
llama31_8b,svamp,math,degenerate,0.3047,0.5312,1.0000,0.4314,281.9
mistral_7b,arc_challenge,mc_science,degenerate,0.7422,1.0000,0.9922,0.0000,32.0
mistral_7b,asdiv,math,degenerate,0.1406,0.8594,0.9766,0.6376,462.1
mistral_7b,gsm8k,math,degenerate,0.0859,0.7812,0.9922,0.5002,440.9
mistral_7b,gsm_symbolic,math,degenerate,0.0859,0.7734,0.9844,0.4990,436.0
mistral_7b,humaneval,code,degenerate,0.0781,0.4453,1.0000,0.2248,260.1
mistral_7b,math500,math,degenerate,0.0469,0.7656,0.9375,0.6897,825.4
mistral_7b,svamp,math,degenerate,0.1406,0.9219,1.0000,0.6244,484.9
qwen25_7b,arc_challenge,mc_science,too_easy,0.8828,0.0234,1.0000,0.0000,2.7
qwen25_7b,asdiv,math,too_easy,0.9609,0.0000,1.0000,0.0010,52.3
qwen25_7b,gsm8k,math,usable,0.7500,0.0078,1.0000,0.0085,126.6
qwen25_7b,gsm_symbolic,math,usable,0.7734,0.0000,1.0000,0.0130,128.7
qwen25_7b,humaneval,code,degenerate,0.4375,0.2031,1.0000,0.1934,200.8
qwen25_7b,math500,math,degenerate,0.6641,0.1016,1.0000,0.1068,503.4
qwen25_7b,svamp,math,too_easy,0.8281,0.0000,1.0000,0.0010,51.2
qwen25_math_7b,arc_challenge,mc_science,degenerate,0.6953,0.9375,1.0000,0.0004,30.8
qwen25_math_7b,asdiv,math,too_easy,0.8203,0.0547,1.0000,0.0377,129.5
qwen25_math_7b,gsm8k,math,usable,0.6328,0.0781,1.0000,0.0511,257.6
qwen25_math_7b,gsm_symbolic,math,usable,0.4297,0.0781,1.0000,0.0386,221.5
qwen25_math_7b,humaneval,code,degenerate,0.2500,0.1484,1.0000,0.1198,279.1
qwen25_math_7b,math500,math,degenerate,0.5625,0.1562,0.9922,0.1180,516.3
qwen25_math_7b,svamp,math,usable,0.7500,0.0859,1.0000,0.0490,141.2
qwen3_32b,arc_challenge,mc_science,too_easy,0.9531,0.0078,1.0000,0.0000,3.5
qwen3_32b,asdiv,math,too_easy,0.9766,0.0000,1.0000,0.0015,72.8
qwen3_32b,gsm8k,math,too_easy,0.9688,0.0000,1.0000,0.0200,172.5
qwen3_32b,gsm_symbolic,math,too_easy,0.9766,0.0000,1.0000,0.0194,192.2
qwen3_32b,humaneval,code,usable,0.1406,0.0000,1.0000,0.0073,59.0
qwen3_32b,math500,math,degenerate,0.7891,0.1797,1.0000,0.1022,525.6
qwen3_32b,svamp,math,too_easy,0.9688,0.0000,1.0000,0.0028,89.1
qwen3_8b_base,arc_challenge,mc_science,too_easy,0.9297,0.0000,1.0000,0.0000,6.0
qwen3_8b_base,asdiv,math,too_easy,0.9766,0.0000,1.0000,0.0146,111.7
qwen3_8b_base,gsm8k,math,too_easy,0.8594,0.0156,1.0000,0.0264,216.4
qwen3_8b_base,gsm_symbolic,math,too_easy,0.8438,0.0234,1.0000,0.0349,250.1
qwen3_8b_base,humaneval,code,usable,0.7188,0.0078,1.0000,0.0177,151.4
qwen3_8b_base,math500,math,degenerate,0.7422,0.1094,1.0000,0.1091,509.6
qwen3_8b_base,svamp,math,too_easy,0.8906,0.0156,1.0000,0.0255,116.2
