probe,family,distance,rows,clean_hurts_first_half,clean_hurts_second_half,clean_no_answer,compressed_no_answer,base_accuracy,base_second_half,clean_accuracy,clean_second_half,corrupted_accuracy,corrupted_second_half,compressed_accuracy,compressed_second_half,clean_frac_base_second_half,clean_lo,clean_hi,compressed_frac_base_second_half,compressed_lo,compressed_hi,corrupted_frac_base_second_half,corrupted_lo,corrupted_hi
gsm8k,training_task,0,500,False,False,0.0,0.0,0.756,0.72,0.81,0.812,0.236,0.264,0.814,0.816,1.127777777777778,1.050251256281407,1.2248520710059172,1.1333333333333333,1.053763440860215,1.2228915662650603,0.3666666666666667,0.29347826086956524,0.44886363636363635
asdiv,math_word,1,400,False,False,0.0,0.0,0.885,0.845,0.925,0.905,0.755,0.745,0.9025,0.87,1.0710059171597635,1.011173184357542,1.1385542168674698,1.029585798816568,0.9763313609467456,1.0880503144654088,0.8816568047337279,0.8148148148148148,0.9512195121951219
gsm_symbolic,math_word,1,400,False,False,0.0,0.0,0.7625,0.72,0.83,0.795,0.14,0.16,0.79,0.785,1.1041666666666667,1.0248447204968945,1.193798449612403,1.090277777777778,1.0068027210884354,1.1851851851851851,0.22222222222222224,0.15723270440251572,0.2907801418439716
svamp,math_word,1,300,False,False,0.0,0.0,0.79,0.7533333333333333,0.8466666666666667,0.8133333333333334,0.5933333333333334,0.6,0.89,0.8666666666666667,1.0796460176991152,0.9921259842519685,1.179245283018868,1.1504424778761062,1.0634920634920635,1.2592592592592593,0.7964601769911505,0.6923076923076923,0.9065420560747663
aqua_rat,math_hard,2,254,True,True,0.8503937007874016,0.08661417322834646,0.4015748031496063,0.3779527559055118,0.05905511811023622,0.007874015748031496,0.01968503937007874,0.023622047244094488,0.3937007874015748,0.3779527559055118,0.020833333333333332,0.0,0.07692307692307693,1.0,0.864406779661017,1.1555555555555554,0.0625,0.0,0.14893617021276595
math500,math_hard,2,400,True,True,1.0,1.0,0.585,0.545,0.495,0.485,0.22,0.22,0.59,0.585,0.8899082568807338,0.7583333333333333,1.0396039603960396,1.0733944954128438,0.9416666666666667,1.2242990654205608,0.40366972477064217,0.2975206611570248,0.5238095238095238
mmlu_abstract_algebra,mmlu_math,2,100,True,True,0.32,0.0,0.47,0.4,0.32,0.28,0.02,0.02,0.51,0.46,0.7000000000000001,0.45,1.0,1.15,0.9047619047619048,1.5,0.049999999999999996,0.0,0.16666666666666666
mmlu_college_mathematics,mmlu_math,2,100,True,True,0.61,0.01,0.51,0.58,0.17,0.2,0.01,0.02,0.47,0.52,0.3448275862068966,0.17647058823529413,0.5517241379310345,0.8965517241379312,0.7307692307692307,1.0740740740740742,0.03448275862068966,0.0,0.125
mmlu_elementary_mathematics,mmlu_math,2,378,True,True,0.7380952380952381,0.0026455026455026454,0.701058201058201,0.708994708994709,0.18783068783068782,0.20105820105820105,0.0291005291005291,0.026455026455026454,0.6931216931216931,0.7037037037037037,0.2835820895522388,0.20279720279720279,0.362962962962963,0.9925373134328359,0.948905109489051,1.0364963503649636,0.03731343283582089,0.007462686567164179,0.07246376811594203
mmlu_high_school_mathematics,mmlu_math,2,270,True,True,0.9518518518518518,0.2740740740740741,0.5555555555555556,0.5037037037037037,0.011111111111111112,0.007407407407407408,0.018518518518518517,0.007407407407407408,0.4185185185185185,0.34814814814814815,0.014705882352941178,0.0,0.04918032786885246,0.6911764705882354,0.5526315789473685,0.8360655737704918,0.014705882352941178,0.0,0.04918032786885246
