candidate,group,held_out,arms,candidate_rmse,model_only_rmse
base_codelength_bits_per_token,task_family,alpaca,4,0.0940242492267143,0.1241714814086157
base_codelength_bits_per_token,task_family,gsm8k,3,0.3468369683071342,0.3490475734068276
base_codelength_bits_per_token,task_family,hh_rlhf,4,0.40236440444066796,0.41685155681730757
base_codelength_bits_per_token,task_family,magicoder,4,0.21686966524860052,0.24317381629561075
base_codelength_bits_per_token,task_family,metamath,25,0.29697200603007173,0.24994928305780295
base_codelength_bits_per_token,task_family,paws,1,0.6923994460302964,0.5745431681280896
base_codelength_bits_per_token,task_family,sql,10,0.208139846526253,0.20412491724477058
base_codelength_bits_per_token,task_family,xbrl,12,0.34648282774013417,0.3569944789885991
base_codelength_bits_per_token,task_family,xsum,4,0.2210861790927514,0.12087012408863734
base_codelength_bits_per_token,model_key,llama31_8b_base,11,0.29702832968022597,0.32134155612836035
base_codelength_bits_per_token,model_key,mistral_7b_base,34,0.20847834385725866,0.19883601082590296
base_codelength_bits_per_token,model_key,qwen25_7b_base,15,0.2163231882142755,0.24327537399107163
base_codelength_bits_per_token,model_key,qwen3_8b_base,7,0.2813806951073911,0.25776437868127033
surprisal_variance_bits2,task_family,alpaca,4,0.2519148735151792,0.1241714814086157
surprisal_variance_bits2,task_family,gsm8k,3,0.35025301121185304,0.3490475734068276
surprisal_variance_bits2,task_family,hh_rlhf,4,0.3212574723711021,0.41685155681730757
surprisal_variance_bits2,task_family,magicoder,4,0.18949325921632756,0.24317381629561075
surprisal_variance_bits2,task_family,metamath,25,0.2974144886053117,0.24994928305780295
surprisal_variance_bits2,task_family,paws,1,0.4724034772403036,0.5745431681280896
surprisal_variance_bits2,task_family,sql,10,0.2069562956772748,0.20412491724477058
surprisal_variance_bits2,task_family,xbrl,12,0.335178612747356,0.3569944789885991
surprisal_variance_bits2,task_family,xsum,4,0.20840888790407236,0.12087012408863734
surprisal_variance_bits2,model_key,llama31_8b_base,11,0.31578996758878497,0.32134155612836035
surprisal_variance_bits2,model_key,mistral_7b_base,34,0.19048271772989672,0.19883601082590296
surprisal_variance_bits2,model_key,qwen25_7b_base,15,0.20881960869994806,0.24327537399107163
surprisal_variance_bits2,model_key,qwen3_8b_base,7,0.21665200375183732,0.25776437868127033
margin_deficit_bits,task_family,alpaca,4,0.10038472871278468,0.1241714814086157
margin_deficit_bits,task_family,gsm8k,3,0.3406060339978331,0.3490475734068276
margin_deficit_bits,task_family,hh_rlhf,4,0.41254878450766547,0.41685155681730757
margin_deficit_bits,task_family,magicoder,4,0.21724463825152485,0.24317381629561075
margin_deficit_bits,task_family,metamath,25,0.30802732226080476,0.24994928305780295
margin_deficit_bits,task_family,paws,1,0.7144222735388126,0.5745431681280896
margin_deficit_bits,task_family,sql,10,0.21833003899782147,0.20412491724477058
margin_deficit_bits,task_family,xbrl,12,0.34669588881288915,0.3569944789885991
margin_deficit_bits,task_family,xsum,4,0.20020603596365008,0.12087012408863734
margin_deficit_bits,model_key,llama31_8b_base,11,0.3110782293855929,0.32134155612836035
margin_deficit_bits,model_key,mistral_7b_base,34,0.2142257740585247,0.19883601082590296
margin_deficit_bits,model_key,qwen25_7b_base,15,0.22887605353779766,0.24327537399107163
margin_deficit_bits,model_key,qwen3_8b_base,7,0.28590793924675884,0.25776437868127033
hidden_effective_rank,task_family,alpaca,4,0.10957835904320361,0.1241714814086157
hidden_effective_rank,task_family,gsm8k,3,0.21192065526187187,0.3490475734068276
hidden_effective_rank,task_family,hh_rlhf,4,0.32405094008898977,0.41685155681730757
hidden_effective_rank,task_family,magicoder,4,0.19286905784645225,0.24317381629561075
hidden_effective_rank,task_family,metamath,25,0.2584665949179568,0.24994928305780295
hidden_effective_rank,task_family,paws,1,0.4585769828112656,0.5745431681280896
hidden_effective_rank,task_family,sql,10,0.30034034476981547,0.20412491724477058
hidden_effective_rank,task_family,xbrl,12,0.28127779385275326,0.3569944789885991
hidden_effective_rank,task_family,xsum,4,0.2995351807065688,0.12087012408863734
hidden_effective_rank,model_key,llama31_8b_base,11,0.18915562740739642,0.32134155612836035
hidden_effective_rank,model_key,mistral_7b_base,34,0.1788981629764582,0.19883601082590296
hidden_effective_rank,model_key,qwen25_7b_base,15,0.20924983365768463,0.24327537399107163
hidden_effective_rank,model_key,qwen3_8b_base,7,0.25982310493246463,0.25776437868127033
surprise_weighted_hidden_logdet,task_family,alpaca,4,0.19093812490247586,0.1241714814086157
surprise_weighted_hidden_logdet,task_family,gsm8k,3,0.4223443207544682,0.3490475734068276
surprise_weighted_hidden_logdet,task_family,hh_rlhf,4,0.3685715271681034,0.41685155681730757
surprise_weighted_hidden_logdet,task_family,magicoder,4,0.1572925011474334,0.24317381629561075
surprise_weighted_hidden_logdet,task_family,metamath,25,0.29087498069640627,0.24994928305780295
surprise_weighted_hidden_logdet,task_family,paws,1,0.5591251265908022,0.5745431681280896
surprise_weighted_hidden_logdet,task_family,sql,10,0.22048476782438012,0.20412491724477058
surprise_weighted_hidden_logdet,task_family,xbrl,12,0.3464702292128931,0.3569944789885991
surprise_weighted_hidden_logdet,task_family,xsum,4,0.2241934252466071,0.12087012408863734
surprise_weighted_hidden_logdet,model_key,llama31_8b_base,11,0.37555336872392736,0.32134155612836035
surprise_weighted_hidden_logdet,model_key,mistral_7b_base,34,0.1915875314322119,0.19883601082590296
surprise_weighted_hidden_logdet,model_key,qwen25_7b_base,15,0.22336068127350892,0.24327537399107163
surprise_weighted_hidden_logdet,model_key,qwen3_8b_base,7,0.3675623057811934,0.25776437868127033
residual_effective_rank,task_family,alpaca,4,0.06717937567925128,0.1241714814086157
residual_effective_rank,task_family,gsm8k,3,0.29503427599165694,0.3490475734068276
residual_effective_rank,task_family,hh_rlhf,4,0.3076094715246758,0.41685155681730757
residual_effective_rank,task_family,magicoder,4,0.16836270439635997,0.24317381629561075
residual_effective_rank,task_family,metamath,25,0.19733800529285425,0.24994928305780295
residual_effective_rank,task_family,paws,1,0.6343945755934589,0.5745431681280896
residual_effective_rank,task_family,sql,10,0.22166092858922498,0.20412491724477058
residual_effective_rank,task_family,xbrl,12,0.19358101782130066,0.3569944789885991
residual_effective_rank,task_family,xsum,4,0.252550994289151,0.12087012408863734
residual_effective_rank,model_key,llama31_8b_base,11,0.18830584026746872,0.32134155612836035
residual_effective_rank,model_key,mistral_7b_base,34,0.15599565533164816,0.19883601082590296
residual_effective_rank,model_key,qwen25_7b_base,15,0.2087430636810535,0.24327537399107163
residual_effective_rank,model_key,qwen3_8b_base,7,0.3130004371102255,0.25776437868127033
fisher_trace,task_family,alpaca,4,0.19483317706132355,0.1241714814086157
fisher_trace,task_family,gsm8k,3,0.3190672289663397,0.3490475734068276
fisher_trace,task_family,hh_rlhf,4,0.5281249907588007,0.41685155681730757
fisher_trace,task_family,magicoder,4,0.22434501817643115,0.24317381629561075
fisher_trace,task_family,metamath,25,0.22242116151773195,0.24994928305780295
fisher_trace,task_family,paws,1,0.4554768990911009,0.5745431681280896
fisher_trace,task_family,sql,10,0.2221862584677052,0.20412491724477058
fisher_trace,task_family,xbrl,12,0.3450828830590693,0.3569944789885991
fisher_trace,task_family,xsum,4,0.09578015286345337,0.12087012408863734
fisher_trace,model_key,llama31_8b_base,11,0.3357737470305698,0.32134155612836035
fisher_trace,model_key,mistral_7b_base,34,0.191012822786638,0.19883601082590296
fisher_trace,model_key,qwen25_7b_base,15,0.2742911487942594,0.24327537399107163
fisher_trace,model_key,qwen3_8b_base,7,0.2556027171078541,0.25776437868127033
fisher_effective_rank,task_family,alpaca,4,0.0497109614595559,0.1241714814086157
fisher_effective_rank,task_family,gsm8k,3,0.22636661971102306,0.3490475734068276
fisher_effective_rank,task_family,hh_rlhf,4,0.295099167368746,0.41685155681730757
fisher_effective_rank,task_family,magicoder,4,0.09745150453213673,0.24317381629561075
fisher_effective_rank,task_family,metamath,25,0.13977301107075862,0.24994928305780295
fisher_effective_rank,task_family,paws,1,0.16458178337487125,0.5745431681280896
fisher_effective_rank,task_family,sql,10,0.04220723224382766,0.20412491724477058
fisher_effective_rank,task_family,xbrl,12,0.08458516226781776,0.3569944789885991
fisher_effective_rank,task_family,xsum,4,0.3001514841716753,0.12087012408863734
fisher_effective_rank,model_key,llama31_8b_base,11,0.12213015567461821,0.32134155612836035
fisher_effective_rank,model_key,mistral_7b_base,34,0.09061727152210781,0.19883601082590296
fisher_effective_rank,model_key,qwen25_7b_base,15,0.2111136037888473,0.24327537399107163
fisher_effective_rank,model_key,qwen3_8b_base,7,0.24609827228129724,0.25776437868127033
fisher_logdet,task_family,alpaca,4,0.2561831303672087,0.1241714814086157
fisher_logdet,task_family,gsm8k,3,0.3547867290623329,0.3490475734068276
fisher_logdet,task_family,hh_rlhf,4,0.2108632134192062,0.41685155681730757
fisher_logdet,task_family,magicoder,4,0.2016465590935812,0.24317381629561075
fisher_logdet,task_family,metamath,25,0.22504596216131492,0.24994928305780295
fisher_logdet,task_family,paws,1,0.46059463647882337,0.5745431681280896
fisher_logdet,task_family,sql,10,0.12829767765037972,0.20412491724477058
fisher_logdet,task_family,xbrl,12,0.2399577821419544,0.3569944789885991
fisher_logdet,task_family,xsum,4,0.35271646953450364,0.12087012408863734
fisher_logdet,model_key,llama31_8b_base,11,0.31721805892727695,0.32134155612836035
fisher_logdet,model_key,mistral_7b_base,34,0.28802554247505435,0.19883601082590296
fisher_logdet,model_key,qwen25_7b_base,15,0.27342928148792994,0.24327537399107163
fisher_logdet,model_key,qwen3_8b_base,7,0.20546707008329318,0.25776437868127033
unit_gain_ntk_cost,task_family,alpaca,4,0.13914801872255977,0.1241714814086157
unit_gain_ntk_cost,task_family,gsm8k,3,0.36619653645086864,0.3490475734068276
unit_gain_ntk_cost,task_family,hh_rlhf,4,0.3055338165732665,0.41685155681730757
