arm,seed,codec,rate,whole,reasoning,answer
qwen_sup_answer,11,raw,,-0.439042,-0.461357,0.02346
qwen_sup_answer,11,binary,1.020497,-0.04436,-0.047508,0.020895
qwen_sup_answer,11,blend1_25,1.26541,-0.075912,-0.08063,0.021871
qwen_sup_answer,11,blend1_50,1.501676,-0.127933,-0.135184,0.022357
qwen_sup_answer,11,blend1_75,1.736717,-0.180343,-0.190149,0.02288
qwen_sup_answer,11,sub0_0625,0.082326,0.002724,0.002121,0.015228
qwen_sup_answer,11,sub0_125,0.145038,0.000559,-0.000309,0.018546
qwen_sup_answer,11,sub0_1875,0.207771,0.000956,5.7e-05,0.019592
qwen_sup_answer,11,sub0_250,0.270483,0.002175,0.001324,0.019817
qwen_sup_answer,11,sub0_375,0.395972,-0.000605,-0.001555,0.01909
qwen_sup_answer,11,sub0_500,0.521342,-0.002929,-0.003986,0.018986
qwen_sup_answer,11,sub0_625,0.646693,-0.006348,-0.007577,0.019127
qwen_sup_answer,11,sub0_750,0.772057,-0.016829,-0.018585,0.019558
qwen_sup_answer,11,sub0_875,0.89738,-0.027473,-0.029769,0.020122
qwen_sup_answer,11,uniform2,1.966788,-0.25286,-0.266179,0.023175
qwen_sup_answer,33,raw,,-0.738142,-0.773959,0.020248
qwen_sup_answer,33,binary,1.019784,-0.0504,-0.053854,0.02275
qwen_sup_answer,33,blend1_25,1.265105,-0.101288,-0.107132,0.02244
qwen_sup_answer,33,blend1_50,1.502068,-0.173141,-0.182343,0.0217
qwen_sup_answer,33,blend1_75,1.737751,-0.271839,-0.285675,0.021137
qwen_sup_answer,33,sub0_0625,0.082326,0.000754,0.000119,0.014226
qwen_sup_answer,33,sub0_125,0.145027,-0.002722,-0.003835,0.020829
qwen_sup_answer,33,sub0_1875,0.207727,-0.002743,-0.003956,0.022957
qwen_sup_answer,33,sub0_250,0.27045,0.002035,0.001028,0.023356
qwen_sup_answer,33,sub0_375,0.395761,-0.009993,-0.011578,0.023556
qwen_sup_answer,33,sub0_500,0.521079,-0.004926,-0.006253,0.023183
qwen_sup_answer,33,sub0_625,0.646372,-0.008244,-0.009726,0.023139
qwen_sup_answer,33,sub0_750,0.771631,-0.022542,-0.024696,0.023067
qwen_sup_answer,33,sub0_875,0.896784,-0.031116,-0.033671,0.022978
qwen_sup_answer,33,uniform2,1.968819,-0.387029,-0.406291,0.020834
qwen_sup_full,11,raw,,0.106825,0.110892,0.022539
qwen_sup_full,11,binary,1.020531,0.104791,0.108795,0.021813
qwen_sup_full,11,blend1_25,1.264987,0.105553,0.10958,0.022091
qwen_sup_full,11,blend1_50,1.50041,0.10609,0.110132,0.022308
qwen_sup_full,11,blend1_75,1.734514,0.106586,0.110648,0.022382
qwen_sup_full,11,sub0_0625,0.082326,0.033343,0.03461,0.007083
qwen_sup_full,11,sub0_125,0.145038,0.05403,0.056127,0.010565
qwen_sup_full,11,sub0_1875,0.20777,0.073376,0.076272,0.013363
qwen_sup_full,11,sub0_250,0.270482,0.083,0.086287,0.014865
qwen_sup_full,11,sub0_375,0.395973,0.093426,0.097105,0.01719
qwen_sup_full,11,sub0_500,0.521342,0.098618,0.102464,0.018907
qwen_sup_full,11,sub0_625,0.646705,0.10108,0.104981,0.020235
qwen_sup_full,11,sub0_750,0.772064,0.102726,0.106664,0.021122
qwen_sup_full,11,sub0_875,0.897419,0.10395,0.107931,0.021439
qwen_sup_full,11,uniform2,1.962997,0.106871,0.110943,0.022482
qwen_sup_full,22,raw,,0.092029,0.095501,0.01644
qwen_sup_full,22,binary,1.02053,0.090476,0.093887,0.016214
qwen_sup_full,22,blend1_25,1.264858,0.091248,0.094691,0.01631
qwen_sup_full,22,blend1_50,1.500094,0.091837,0.095301,0.016417
qwen_sup_full,22,blend1_75,1.73421,0.09205,0.095523,0.016445
qwen_sup_full,22,sub0_0625,0.082326,0.027664,0.02851,0.009248
qwen_sup_full,22,sub0_125,0.145038,0.045269,0.046776,0.012483
qwen_sup_full,22,sub0_1875,0.20777,0.059791,0.061904,0.013806
qwen_sup_full,22,sub0_250,0.270482,0.069819,0.072361,0.014475
qwen_sup_full,22,sub0_375,0.395973,0.079904,0.082875,0.015226
qwen_sup_full,22,sub0_500,0.521342,0.083918,0.087052,0.015681
qwen_sup_full,22,sub0_625,0.646705,0.086799,0.090057,0.015867
qwen_sup_full,22,sub0_750,0.772064,0.088432,0.09176,0.015982
qwen_sup_full,22,sub0_875,0.897419,0.089737,0.093117,0.016168
qwen_sup_full,22,uniform2,1.962716,0.092265,0.095746,0.016483
qwen_sup_full,33,raw,,0.091904,0.095199,0.022111
qwen_sup_full,33,binary,1.020497,0.09018,0.093423,0.021511
qwen_sup_full,33,blend1_25,1.264954,0.091079,0.094359,0.02163
qwen_sup_full,33,blend1_50,1.500406,0.091464,0.094754,0.021798
qwen_sup_full,33,blend1_75,1.734508,0.091886,0.095188,0.021953
qwen_sup_full,33,sub0_0625,0.082326,0.022912,0.023584,0.008677
qwen_sup_full,33,sub0_125,0.145038,0.045667,0.047172,0.013797
qwen_sup_full,33,sub0_1875,0.20777,0.058344,0.060327,0.016368
