probe,family,distance,rows,clean_hurts_first_half,clean_hurts_second_half,clean_no_answer,compressed_no_answer,base_accuracy,base_second_half,clean_accuracy,clean_second_half,corrupted_accuracy,corrupted_second_half,compressed_accuracy,compressed_second_half,clean_frac_base_second_half,clean_lo,clean_hi,compressed_frac_base_second_half,compressed_lo,compressed_hi,corrupted_frac_base_second_half,corrupted_lo,corrupted_hi
math500,training_task,0,500,False,False,1.0,1.0,0.51,0.508,0.508,0.512,0.18,0.164,0.528,0.52,1.0078740157480315,0.9022556390977443,1.131578947368421,1.0236220472440944,0.9323308270676691,1.1300813008130082,0.3228346456692913,0.2391304347826087,0.4166666666666667
aqua_rat,math_hard,1,254,True,True,0.8858267716535433,0.0,0.2992125984251969,0.2677165354330709,0.031496062992125984,0.007874015748031496,0.0,0.0,0.3031496062992126,0.28346456692913385,0.02941176470588235,0.0,0.0967741935483871,1.0588235294117645,0.8823529411764706,1.2647058823529411,0.0,0.0,0.0
mmlu_abstract_algebra,mmlu_math,1,100,True,True,0.81,0.0,0.47,0.38,0.11,0.06,0.0,0.0,0.49,0.42,0.15789473684210525,0.0,0.3333333333333333,1.1052631578947367,0.8421052631578947,1.5,0.0,0.0,0.0
mmlu_college_mathematics,mmlu_math,1,100,True,True,0.78,0.0,0.35,0.34,0.06,0.06,0.0,0.0,0.36,0.32,0.1764705882352941,0.0,0.38095238095238093,0.9411764705882353,0.7368421052631579,1.1538461538461537,0.0,0.0,0.0
mmlu_elementary_mathematics,mmlu_math,1,378,True,True,0.746031746031746,0.0,0.6164021164021164,0.6666666666666666,0.17195767195767195,0.19047619047619047,0.05291005291005291,0.05291005291005291,0.6137566137566137,0.656084656084656,0.2857142857142857,0.2047244094488189,0.3779527559055118,0.9841269841269841,0.9307692307692308,1.0393700787401574,0.07936507936507936,0.034722222222222224,0.1297709923664122
mmlu_high_school_mathematics,mmlu_math,1,270,True,True,0.9444444444444444,0.05925925925925926,0.45185185185185184,0.4666666666666667,0.018518518518518517,0.014814814814814815,0.0,0.0,0.4222222222222222,0.42962962962962964,0.031746031746031744,0.0,0.08695652173913043,0.9206349206349207,0.8208955223880597,1.0185185185185186,0.0,0.0,0.0
mmlu_high_school_statistics,mmlu_math,1,216,True,True,0.42592592592592593,0.0,0.6435185185185185,0.6574074074074074,0.41203703703703703,0.4444444444444444,0.0,0.0,0.6527777777777778,0.6666666666666666,0.6760563380281689,0.5394736842105263,0.8095238095238095,1.0140845070422535,0.9692307692307692,1.0634920634920635,0.0,0.0,0.0
asdiv,math_word,2,400,False,False,0.0,0.0,0.8925,0.855,0.8675,0.84,0.745,0.73,0.9225,0.88,0.9824561403508771,0.935672514619883,1.0350877192982457,1.0292397660818713,0.9942528735632183,1.072289156626506,0.8538011695906432,0.7869822485207101,0.9221556886227545
gsm8k,math_word,2,400,True,True,0.0,0.0,0.8775,0.89,0.79,0.765,0.18,0.205,0.8575,0.885,0.8595505617977528,0.7942857142857143,0.9239766081871345,0.9943820224719101,0.9497206703910615,1.0424242424242425,0.23033707865168537,0.17032967032967034,0.29120879120879123
gsm_symbolic,math_word,2,400,True,True,0.0,0.0,0.855,0.84,0.7725,0.78,0.0825,0.085,0.8675,0.875,0.9285714285714286,0.8596491228070176,1.0,1.0416666666666667,0.9941860465116279,1.0914634146341464,0.1011904761904762,0.060240963855421686,0.1511627906976744
svamp,math_word,2,300,False,False,0.0,0.0,0.8466666666666667,0.8266666666666667,0.86,0.82,0.6566666666666666,0.6666666666666666,0.8733333333333333,0.8533333333333334,0.9919354838709676,0.921875,1.0683760683760684,1.032258064516129,0.984251968503937,1.0862068965517242,0.8064516129032258,0.725,0.8925619834710744
arc_challenge,sci_reasoning,3,400,True,True,0.1075,0.0,0.8875,0.91,0.795,0.83,0.4925,0.46,0.8875,0.895,0.9120879120879121,0.8611111111111112,0.9606741573033708,0.9835164835164835,0.9621621621621622,1.0,0.5054945054945055,0.43333333333333335,0.5824175824175825
arc_easy,sci_reasoning,3,400,False,False,0.0225,0.0,0.97,0.96,0.9525,0.94,0.73,0.72,0.9675,0.955,0.9791666666666666,0.9533678756476683,1.0051020408163265,0.9947916666666666,0.9840425531914894,1.0,0.75,0.6875,0.8125
mmlu_anatomy,mmlu_stem,3,135,False,False,0.037037037037037035,0.0,0.6814814814814815,0.7058823529411765,0.6592592592592592,0.6911764705882353,0.35555555555555557,0.36764705882352944,0.674074074074074,0.6911764705882353,0.9791666666666666,0.9069767441860465,1.0454545454545454,0.9791666666666666,0.9322033898305084,1.0,0.5208333333333334,0.37037037037037035,0.6739130434782609
mmlu_astronomy,mmlu_stem,3,152,True,False,0.07894736842105263,0.0,0.8092105263157895,0.7763157894736842,0.756578947368421,0.75,0.23684210526315788,0.3026315789473684,0.8223684210526315,0.7894736842105263,0.9661016949152543,0.8833333333333333,1.0508474576271187,1.0169491525423728,1.0,1.0566037735849056,0.3898305084745763,0.26666666666666666,0.5166666666666667
mmlu_college_biology,mmlu_stem,3,144,False,False,0.04861111111111111,0.0,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.8888888888888888,0.2847222222222222,0.25,0.875,0.875,1.032258064516129,0.9701492537313433,1.103448275862069,1.0161290322580645,1.0,1.0526315789473684,0.29032258064516125,0.18181818181818182,0.4032258064516129
mmlu_college_chemistry,mmlu_stem,3,100,True,True,0.46,0.0,0.52,0.58,0.34,0.4,0.0,0.0,0.55,0.62,0.6896551724137931,0.5,0.8928571428571429,1.0689655172413794,1.0,1.1923076923076923,0.0,0.0,0.0
mmlu_college_computer_science,mmlu_stem,3,100,True,True,0.45,0.0,0.53,0.52,0.37,0.28,0.05,0.0,0.53,0.56,0.5384615384615385,0.3333333333333333,0.76,1.076923076923077,0.9047619047619048,1.3043478260869565,0.0,0.0,0.0
mmlu_college_physics,mmlu_stem,3,102,True,True,0.6666666666666666,0.0,0.4803921568627451,0.5098039215686274,0.22549019607843138,0.1568627450980392,0.0,0.0,0.4803921568627451,0.49019607843137253,0.3076923076923077,0.13793103448275862,0.4827586206896552,0.9615384615384616,0.8695652173913043,1.0,0.0,0.0,0.0
mmlu_computer_security,mmlu_stem,3,100,False,True,0.06,0.0,0.75,0.66,0.71,0.6,0.57,0.52,0.77,0.68,0.9090909090909091,0.7941176470588235,1.0,1.0303030303030303,1.0,1.103448275862069,0.7878787878787878,0.6216216216216216,0.9411764705882353
mmlu_conceptual_physics,mmlu_stem,3,235,True,True,0.1829787234042553,0.0,0.7191489361702128,0.6779661016949152,0.6212765957446809,0.576271186440678,0.28936170212765955,0.2711864406779661,0.7106382978723405,0.652542372881356,0.8500000000000001,0.7582417582417582,0.9438202247191011,0.9625000000000001,0.9156626506024096,1.0,0.4,0.29333333333333333,0.5066666666666667
